Student_ID,Name,Department,Semester,CGPA,Attendance,Projects,Programming_Score,Internship,Hackathons,Certifications,Placement_Status,Package_LPA
2092,Diya_92,CSE,6,7.68,81,4,74,Yes,3,5,Placed,21.9
2093,Rohan_93,ISE,7,9.24,73,1,79,Yes,4,2,Not Placed,0.0
2094,Ananya_94,CSE,6,9.72,91,3,72,No,5,6,Not Placed,0.0
2095,Vikram_95,ME,8,8.83,96,2,69,Yes,2,1,Placed,17.4
2096,Meera_96,AI,8,8.39,98,5,96,No,3,0,Not Placed,0.0
2097,Karan_97,AI,7,6.34,79,2,81,No,1,6,Not Placed,0.0
2098,Sneha_98,ME,6,7.91,78,6,65,No,3,6,Placed,22.4
2099,Arjun_99,ISE,8,9.66,74,6,69,Yes,5,5,Not Placed,0.0
2100,Priya_100,ECE,8,6.34,82,0,71,Yes,3,2,Not Placed,0.0
2101,Rahul_101,ECE,8,8.22,96,5,78,No,1,3,Placed,22.7
2102,Isha_102,ECE,6,9.48,77,5,59,Yes,3,5,Placed,13.2
2103,Nikhil_103,CSE,8,9.6,79,3,62,No,4,1,Placed,12.4
2104,Kavya_104,ME,8,7.59,93,5,64,Yes,5,0,Not Placed,0.0
2105,Aditya_105,ISE,7,9.57,78,0,99,No,3,3,Not Placed,0.0
2106,Neha_106,CSE,7,9.73,81,4,96,No,3,2,Placed,7.4
2107,Manoj_107,CSE,8,8.52,90,5,93,Yes,0,6,Placed,24.8
2108,Sara_108,AI,8,6.26,94,4,68,Yes,1,2,Not Placed,0.0
2109,Aarav_109,CSE,6,7.05,74,1,89,No,1,0,Not Placed,0.0
2110,Diya_110,AI,7,6.06,95,6,70,Yes,0,1,Placed,7.5
2111,Rohan_111,ME,8,6.43,72,3,83,Yes,4,4,Placed,15.1
2112,Ananya_112,CSE,7,8.76,97,5,88,No,5,0,Placed,14.6
2113,Vikram_113,ISE,6,8.61,85,5,83,No,0,2,Not Placed,0.0
2114,Meera_114,AI,8,7.05,90,4,90,Yes,3,4,Placed,14.1
2115,Karan_115,ISE,7,6.38,92,0,96,Yes,4,5,Not Placed,0.0
2116,Sneha_116,ISE,7,9.37,83,2,84,No,5,0,Placed,11.3
2117,Arjun_117,ECE,7,9.62,91,3,59,No,0,0,Placed,19.9
2118,Priya_118,AI,7,8.11,88,4,90,No,0,3,Placed,18.3
2119,Rahul_119,CSE,6,9.68,89,2,77,No,4,1,Placed,14.6
2120,Isha_120,ECE,8,9.21,81,0,72,Yes,3,6,Placed,20.3
2121,Nikhil_121,ME,7,8.56,87,0,93,Yes,5,2,Placed,10.5
2122,Kavya_122,ECE,6,7.33,75,6,64,Yes,3,0,Placed,17.7
2123,Aditya_123,CSE,8,8.84,76,3,81,Yes,1,2,Placed,11.5
2124,Neha_124,ME,7,6.32,71,1,65,Yes,0,5,Placed,13.9
2125,Manoj_125,ISE,8,8.31,83,2,68,Yes,0,2,Placed,10.7
2126,Sara_126,ME,6,7.85,91,2,57,No,4,0,Placed,11.0
2127,Aarav_127,AI,8,8.9,79,2,62,No,5,3,Placed,12.6
2128,Diya_128,AI,6,7.9,96,5,77,No,5,0,Placed,14.2
2129,Rohan_129,ECE,8,8.19,88,3,95,No,0,3,Placed,11.5
2130,Ananya_130,ISE,7,9.16,81,0,82,Yes,1,3,Placed,15.5
2131,Vikram_131,ECE,6,8.83,77,2,65,No,5,0,Not Placed,0.0
2132,Meera_132,ECE,8,7.33,96,5,64,No,1,2,Placed,17.0
2133,Karan_133,CSE,8,6.67,94,5,86,Yes,4,6,Not Placed,0.0
2134,Sneha_134,ME,7,8.44,89,2,95,No,3,0,Placed,17.6
2135,Arjun_135,ME,8,6.21,86,0,74,Yes,0,0,Placed,10.7
2136,Priya_136,CSE,8,8.34,86,3,84,Yes,5,0,Placed,21.2
2137,Rahul_137,AI,7,7.22,85,4,64,Yes,3,0,Not Placed,0.0
2138,Isha_138,CSE,7,7.92,75,0,70,Yes,3,4,Placed,8.2
2139,Nikhil_139,ECE,8,7.47,94,2,98,Yes,5,5,Placed,11.6
2140,Kavya_140,ISE,8,7.08,93,6,97,Yes,4,6,Placed,6.6
2141,Aditya_141,AI,8,9.48,79,5,99,Yes,1,4,Placed,6.7
2142,Neha_142,ISE,6,8.45,80,6,63,Yes,5,5,Not Placed,0.0
2143,Manoj_143,ISE,7,7.93,70,2,74,No,1,2,Not Placed,0.0
2144,Sara_144,AI,8,6.86,74,1,59,No,0,4,Not Placed,0.0
2145,Aarav_145,ME,8,6.14,80,6,94,No,3,1,Placed,21.6
2146,Diya_146,AI,7,8.74,71,3,78,Yes,1,3,Placed,20.0
2147,Rohan_147,AI,8,8.03,79,6,85,Yes,1,2,Not Placed,0.0
2148,Ananya_148,ISE,8,7.75,79,6,79,Yes,3,1,Not Placed,0.0
2149,Vikram_149,AI,6,9.32,71,5,85,Yes,4,0,Placed,15.3
2150,Meera_150,ECE,6,6.32,75,2,83,Yes,1,6,Placed,23.9
